E_coli,Total_Coliforms,Enterococci,Turbidity,Residual_Chlorine,Nitrate,Disease_Risk
322,978,13,5.87,0.37,10.26,Diarrhea
127,1143,17,74.42,0.23,15.8,HepatitisA
1608,1320,75,13.09,0.23,16.35,Dysentery
310,1772,13,9.73,0.06,4.41,Diarrhea
686,2172,7,39.76,0.1,18.3,Cholera
1397,9264,7,29.23,0.05,17.6,Cholera
16,1010,29,9.01,0.38,11.13,Typhoid
135,2839,22,2.88,0.36,29.38,Typhoid
1608,3430,7,48.7,0.12,5.31,Cholera
386,1410,14,9.88,0.28,11.15,Diarrhea
1343,1273,82,7.87,0.18,1.33,Dysentery
284,1515,44,13.28,0.07,7.03,Dysentery
161,2227,0,83.15,0.08,18.14,HepatitisA
54,2296,45,6.03,0.24,25.82,Typhoid
42,337,30,8.09,0.65,17.31,Typhoid
1724,927,2,21.82,0.15,19.98,Cholera
1093,5785,11,43.65,0.15,16.85,Cholera
490,1433,3,12.1,0.47,9.69,Diarrhea
347,6362,1,20.98,0.01,8.89,Cholera
261,1847,43,5.54,0.24,16.01,Dysentery
605,1025,12,28.5,0.13,14.54,Cholera
470,3128,8,16.79,0.06,2.4,Cholera
502,8236,15,22.86,0.04,5.6,Cholera
167,3772,16,60.17,0.37,0.84,HepatitisA
43,377,7,74.11,0.03,9.32,HepatitisA
1543,1182,56,8.41,0.06,10.25,Dysentery
349,1997,3,17.16,0.48,8.21,Diarrhea
72,626,27,8.73,0.74,22.16,Typhoid
33,4347,25,23.07,0.23,4.27,HepatitisA
1096,1742,17,31.55,0.16,8.37,Cholera
83,1590,23,8.08,0.4,16.13,Typhoid
245,784,72,11.39,0.2,12.16,Dysentery
1556,674,53,5.85,0.11,8.88,Dysentery
82,3099,47,5.03,0.75,24.94,Typhoid
20,865,0,37.6,0.23,11.54,HepatitisA
187,2768,21,40.68,0.42,18.64,HepatitisA
297,458,3,16.96,0.05,10.06,Diarrhea
374,1773,64,14.82,0.17,10.4,Dysentery
1517,8391,13,11.03,0.01,1.3,Cholera
182,1315,3,5.82,0.37,6.87,Diarrhea
88,1754,8,13.13,0.07,0.26,Diarrhea
322,1329,5,6.37,0.04,1.27,Diarrhea
225,1870,79,7.11,0.15,15.61,Dysentery
27,369,27,7.94,0.24,26.22,Typhoid
879,2015,14,35.51,0.17,13.94,Cholera
1037,7370,18,15.22,0.09,13.2,Cholera
22,3998,12,16.03,0.19,7.94,HepatitisA
197,3920,15,33.53,0.33,5.77,HepatitisA
369,788,0,17.42,0.14,4.45,Diarrhea
1325,1707,38,14.76,0.0,13.58,Dysentery
103,2616,28,71.03,0.32,15.6,HepatitisA
1053,1536,24,10.68,0.28,4.88,Dysentery
1046,1837,86,13.17,0.18,7.19,Dysentery
46,1138,12,30.75,0.07,11.72,HepatitisA
43,1826,30,8.44,0.21,18.26,Typhoid
33,4402,40,9.66,0.53,27.38,Typhoid
114,1013,10,5.8,0.18,9.53,Diarrhea
1907,896,67,8.97,0.22,10.81,Dysentery
18,1838,27,86.11,0.42,6.71,HepatitisA
454,733,7,13.04,0.11,7.98,Diarrhea
38,2181,35,4.37,0.64,13.64,Typhoid
209,7490,12,22.2,0.03,4.92,Cholera
153,3608,0,47.53,0.22,6.45,HepatitisA
1960,1153,49,14.53,0.25,12.16,Dysentery
311,9707,11,14.54,0.09,8.06,Cholera
72,3480,14,75.67,0.26,15.53,HepatitisA
46,2246,5,27.13,0.24,15.3,HepatitisA
1096,8482,12,31.53,0.07,19.55,Cholera
31,1211,23,22.33,0.3,11.23,HepatitisA
1556,1557,12,40.73,0.06,18.45,Cholera
63,3753,20,17.1,0.22,11.84,HepatitisA
759,9186,3,15.34,0.12,4.07,Cholera
657,984,78,6.09,0.25,17.63,Dysentery
1480,997,91,13.37,0.22,17.96,Dysentery
94,1822,13,77.66,0.04,11.11,HepatitisA
1633,1354,91,9.03,0.18,4.75,Dysentery
112,4939,9,75.21,0.22,7.79,HepatitisA
87,2377,9,71.15,0.39,18.57,HepatitisA
532,5668,19,30.61,0.1,0.93,Cholera
343,322,36,6.93,0.0,5.77,Dysentery
85,1455,7,88.91,0.25,4.07,HepatitisA
130,1382,19,3.78,0.73,17.75,Typhoid
176,3359,13,28.03,0.39,8.97,HepatitisA
51,1319,21,50.01,0.4,1.6,HepatitisA
135,635,6,22.24,0.06,13.3,HepatitisA
1819,8933,14,47.17,0.19,7.16,Cholera
456,1953,7,46.43,0.04,12.06,Cholera
114,475,37,1.11,0.31,26.44,Typhoid
143,523,13,11.86,0.09,14.46,Diarrhea
120,469,17,59.82,0.13,9.16,HepatitisA
